club,played,att_goals,att_xg,att_goals_vs_xg,att_shots,att_sot,att_conversion_pct,att_xg_per_shot,att_np_goals,att_np_xg,att_np_goals_vs_xg,att_np_shots,att_np_sot,att_np_conv_pct,att_np_xg_per_shot,att_sp_goals,att_sp_shots,att_sp_xg,att_sp_goal_pct,att_sp_shot_pct,att_sp_xg_pct,att_touches_in_box,att_hit_woodwork,att_offsides,att_penalties_total,att_penalties_goals,att_free_kicks_total,att_free_kicks_goals,att_headers_total,att_headers_goals,att_fast_breaks_total,att_fast_breaks_goals,def_avg_possession_pct,def_tackles,def_interceptions,def_possession_won,def_blocks,def_clearances,def_ground_duels_won_pct,def_aerial_duels_won_pct,def_goals_conceded,def_xg_against,def_goals_vs_xg_against,def_shots_against,def_sot_against,def_conv_pct_against,def_xg_per_shot_against,def_shots_in_box_pct,def_goals_in_box_pct,def_sp_goals,def_sp_shots,def_sp_xg,def_sp_goal_pct,def_sp_shot_pct,def_sp_xg_pct,def_touches_in_box,def_hit_woodwork,def_offsides,def_penalties_total,def_penalties_goals,def_free_kicks_total,def_free_kicks_goals,def_headers_total,def_headers_goals,def_fast_breaks_total,def_fast_breaks_goals,pas_passes_total,pas_passes_successful,pas_passes_pct,pas_final_third_total,pas_final_third_successful,pas_final_third_pct,pas_direction_fwd_pct,pas_direction_bwd_pct,pas_direction_left_pct,pas_direction_right_pct,pas_crosses_total,pas_crosses_successful,pas_crosses_pct,pas_through_balls,prs_pressed_seqs,prs_ppda,prs_start_distance,prs_high_turnovers_total,prs_high_turnovers_shot_ending,prs_high_turnovers_goal_ending,prs_high_turnovers_shot_pct,seq_passes_10_plus,seq_direct_speed,seq_passes_per_seq,seq_sequence_time,seq_buildups_total,seq_buildups_goals,seq_direct_attacks_total,seq_direct_attacks_goals,msc_subs_used,msc_subs_goals,msc_errors_lead_to_shot,msc_errors_lead_to_goal,msc_fouled,msc_yellows,msc_reds,msc_pens_won,msc_fouls,msc_opp_yellows,msc_opp_reds,msc_pens_conceded,att_goals_per_game,att_shots_per_game,att_xg_per_game,att_fast_breaks_per_game,att_touches_in_box_per_game,def_tackles_per_game,def_interceptions_per_game,def_goals_conceded_per_game,pas_passes_per_game,pas_crosses_per_game,pas_through_balls_per_game,prs_pressed_seqs_per_game,seq_buildups_per_game,seq_direct_attacks_per_game,msc_fouls_per_game,msc_yellows_per_game
Mallorca,38,47,43.5,3.5,413,158,11.38,0.1,42,37.98,4.02,406,152,10.34,0.09,8,112,7.73,17.02,27.12,17.77,706,5,50,7,5,15,0,101,9,23,4,46.9,560,272,1683,165,1099,49.3,52.3,57,62.66,-5.66,541,170,10.54,0.12,62.66,84.21,11,150,13.04,19.3,27.73,20.82,976,9,64,8,6,12,1,86,9,37,2,15085,12232,81.1,3866,2572,66.5,36.0,15.7,24.7,23.6,543,131,24.1,25,342,13.4,40.7,224,27,3,12.05,301,1.87,3.35,9.33,54,3,46,3,175,4,20,7,443,79,5,7,443,74,10,8,1.24,10.87,1.14,0.61,18.58,14.74,7.16,1.5,396.97,14.29,0.66,9.0,1.42,1.21,11.66,2.08
Osasuna,38,44,45.95,-1.95,450,151,9.78,0.1,38,39.64,-1.64,442,144,8.6,0.09,15,144,12.04,34.09,32.0,26.21,879,11,51,8,6,14,2,105,11,32,2,46.8,552,297,1775,124,1007,48.4,53.0,50,49.38,0.62,474,172,10.55,0.1,58.44,78.0,8,128,9.19,16.0,27.0,18.61,855,3,70,9,9,11,0,68,8,25,5,14682,11797,80.3,4019,2726,66.8,36.5,14.8,25.1,23.5,612,146,23.9,22,417,13.3,41.7,252,33,1,13.1,266,1.98,3.16,8.62,53,2,59,3,175,10,16,7,415,91,7,8,485,87,5,9,1.16,11.84,1.21,0.84,23.13,14.53,7.82,1.32,386.37,16.11,0.58,10.97,1.39,1.55,12.76,2.39
Rayo Vallecano,38,41,53.19,-12.19,531,184,7.72,0.1,38,49.25,-11.25,526,180,7.22,0.09,7,147,9.75,17.07,27.68,18.34,753,11,79,5,3,25,0,80,6,46,4,53.4,685,315,1935,155,992,49.5,45.7,44,49.48,-5.48,465,159,9.46,0.11,64.73,88.64,10,157,11.06,22.73,33.76,22.35,895,9,35,8,6,18,0,72,6,33,6,15858,13041,82.2,4273,2895,67.8,33.9,16.3,24.6,25.2,573,114,19.9,48,400,9.9,41.3,244,42,2,17.21,310,1.83,3.28,8.8,45,1,67,1,188,11,23,2,397,97,9,5,482,82,5,8,1.08,13.97,1.4,1.21,19.82,18.03,8.29,1.16,417.32,15.08,1.26,10.53,1.18,1.76,12.68,2.55
Real Betis,38,59,55.63,3.37,541,184,10.91,0.1,56,53.27,2.73,538,181,10.41,0.1,9,123,9.47,15.25,22.74,17.01,860,17,63,3,3,16,1,67,7,72,8,50.2,657,342,1847,118,1067,51.4,49.5,48,46.91,1.09,469,171,10.23,0.1,62.05,75.0,10,130,9.29,20.83,27.72,19.81,812,0,118,7,4,15,1,70,6,22,3,17878,15207,85.1,4807,3566,74.2,31.4,15.2,26.6,26.9,402,87,21.6,68,382,13.6,42.0,269,58,7,21.56,447,1.98,3.83,10.3,82,2,83,7,163,7,19,6,466,72,2,3,370,92,4,7,1.55,14.24,1.46,1.89,22.63,17.29,9.0,1.26,470.47,10.58,1.79,10.05,2.16,2.18,9.74,1.89
Real Madrid,38,77,78.0,-1.0,665,253,11.58,0.12,65,66.96,-1.96,651,239,9.98,0.1,13,175,14.75,16.88,26.32,18.91,1333,16,78,14,12,19,0,83,8,46,8,59.4,591,252,1776,124,639,54.3,56.9,35,41.17,-6.17,409,122,8.56,0.1,62.84,77.14,5,94,7.79,14.29,22.98,18.93,694,10,35,4,4,11,2,59,5,26,3,22307,20002,89.7,7008,5743,82.0,27.7,14.7,29.1,28.5,360,68,18.9,97,415,11.5,43.3,279,65,11,23.3,724,1.74,4.91,13.55,169,14,103,7,171,6,27,5,522,68,7,14,359,79,10,4,2.03,17.5,2.05,1.21,35.08,15.55,6.63,0.92,587.03,9.47,2.55,10.92,4.45,2.71,9.45,1.79
Real Oviedo,38,26,35.84,-9.84,376,119,6.91,0.1,24,33.48,-9.48,373,116,6.43,0.09,10,111,9.57,38.46,29.52,26.69,637,10,78,3,2,4,0,77,7,22,3,46.1,678,301,1721,158,1021,51.1,51.3,60,60.05,-0.05,567,211,10.58,0.11,62.61,86.67,15,152,12.42,25.0,26.81,20.69,1007,10,46,7,5,11,1,96,9,38,6,14851,12147,81.8,3393,2296,67.7,34.1,15.9,24.7,25.2,501,110,22.0,36,293,12.8,40.1,211,34,2,16.11,276,1.72,3.26,9.25,42,1,37,2,186,2,40,13,420,73,10,3,449,53,5,7,0.68,9.89,0.94,0.58,16.76,17.84,7.92,1.58,390.82,13.18,0.95,7.71,1.11,0.97,11.82,1.92
Real Sociedad,38,59,54.42,4.58,469,175,12.58,0.12,51,47.33,3.67,460,167,11.09,0.1,9,148,12.04,15.25,31.56,22.12,820,10,90,9,8,9,1,80,8,32,7,51.3,678,299,1737,145,947,49.2,51.9,61,57.72,3.28,529,169,11.53,0.11,63.71,88.52,17,126,10.66,27.87,23.82,18.47,918,10,63,5,5,10,0,91,13,46,6,17033,14161,83.1,4501,3147,69.9,34.4,15.8,24.8,24.9,456,94,20.6,79,429,10.4,42.8,256,48,4,18.75,391,1.91,3.56,9.48,49,4,46,4,187,11,27,7,435,88,4,9,519,88,6,5,1.55,12.34,1.43,0.84,21.58,17.84,7.87,1.61,448.24,12.0,2.08,11.29,1.29,1.21,13.66,2.32
Sevilla,38,46,39.28,6.72,437,137,10.53,0.09,41,34.55,6.45,431,131,9.51,0.08,5,121,6.59,10.87,27.69,16.77,812,9,102,6,5,10,0,73,5,36,6,51.0,687,326,1803,116,924,50.5,53.0,60,57.23,2.77,402,159,14.93,0.14,70.15,88.33,10,109,8.61,16.67,27.11,15.05,787,4,30,11,9,7,1,68,7,33,6,15396,12521,81.3,4221,2889,68.4,34.2,15.4,25.4,25.1,408,100,24.5,40,390,10.6,41.9,248,39,4,15.73,320,1.89,3.29,8.86,50,3,53,3,178,10,35,7,458,105,5,6,531,80,3,11,1.21,11.5,1.03,0.95,21.37,18.08,8.58,1.58,405.16,10.74,1.05,10.26,1.32,1.39,13.97,2.76
Valencia,38,46,49.19,-3.19,449,123,10.24,0.11,41,42.1,-1.1,440,116,9.32,0.1,10,129,9.58,21.74,28.73,19.47,812,14,65,9,5,16,0,77,10,32,6,47.6,605,292,1780,116,1010,49.8,46.1,55,47.51,7.49,446,158,12.33,0.11,65.7,83.64,12,130,10.41,21.82,29.15,21.92,886,5,100,8,6,14,0,67,7,30,2,15423,12603,81.7,4105,2810,68.5,33.1,14.9,26.3,25.7,496,109,22.0,50,398,13.5,41.4,252,40,4,15.87,297,1.83,3.29,9.18,62,3,48,6,187,8,23,7,431,71,3,9,440,82,7,8,1.21,11.82,1.29,0.84,21.37,15.92,7.68,1.45,405.87,13.05,1.32,10.47,1.63,1.26,11.58,1.87
Villarreal,38,72,59.04,12.96,455,172,15.82,0.13,65,53.52,11.48,448,165,14.51,0.12,7,103,7.81,9.72,22.64,13.22,945,11,68,7,7,5,0,43,5,57,14,44.5,655,331,1784,158,1026,49.1,47.9,46,46.15,-0.15,486,147,9.46,0.1,60.91,84.78,6,124,8.85,13.04,25.51,19.18,946,4,47,8,7,20,1,85,9,21,3,15550,12927,83.1,4128,2938,71.2,31.6,13.4,27.6,27.3,331,73,22.1,80,367,15.1,38.9,218,23,3,10.55,352,1.99,3.48,9.28,75,4,90,12,184,8,42,13,444,77,3,7,427,76,3,8,1.89,11.97,1.55,1.5,24.87,17.24,8.71,1.21,409.21,8.71,2.11,9.66,1.97,2.37,11.24,2.03
